GENE	ENSG00000151623	I
GENE	ENSG00000106086	I
GENE	ENSG00000129535	I
GENE	ENSG00000063241	I
GENE	ENSG00000148123	I
GENE	ENSG00000174564	I
GENE	ENSG00000113100	PI
GENE	ENSG00000183763	I
GENE	ENSG00000172772	I
GENE	ENSG00000167080	I
GENE	ENSG00000185386	PI
GENE	ENSG00000140986	I
GENE	ENSG00000157837	I
GENE	ENSG00000105509	M
GENE	ENSG00000185359	I
GENE	ENSG00000103534	I
GENE	ENSG00000130349	I
GENE	ENSG00000120688	I
GENE	ENSG00000117586	I
GENE	ENSG00000101460	I
GENE	ENSG00000242766	PG
GENE	ENSG00000166402	I
GENE	ENSG00000176281	I
GENE	ENSG00000189221	I
GENE	ENSG00000141040	I
GENE	ENSG00000212721	I
GENE	ENSG00000186787	I
GENE	ENSG00000184232	PI
GENE	ENSG00000163444	I
GENE	ENSG00000162572	PI
GENE	ENSG00000138411	I
GENE	ENSG00000264424	I
GENE	ENSG00000083307	I
GENE	ENSG00000107036	I
GENE	ENSG00000163823	I
GENE	ENSG00000154133	I
GENE	ENSG00000137693	PI
GENE	ENSG00000034533	I
GENE	ENSG00000164331	I
GENE	ENSG00000100665	I
GENE	ENSG00000174871	PI
GENE	ENSG00000163291	I
GENE	ENSG00000168389	I
GENE	ENSG00000114861	I
GENE	ENSG00000115902	PI
GENE	ENSG00000178187	I
GENE	ENSG00000206073	I
GENE	ENSG00000140905	PI
GENE	ENSG00000111530	I
GENE	ENSG00000122376	I
GENE	ENSG00000214140	I
GENE	ENSG00000177989	M
GENE	ENSG00000186509	I
GENE	ENSG00000205129	I
GENE	ENSG00000185245	I
GENE	ENSG00000140332	I
GENE	ENSG00000120314	I
GENE	ENSG00000137204	I
GENE	ENSG00000105953	I
GENE	ENSG00000101384	I
GENE	ENSG00000055070	I
GENE	ENSG00000144649	I
GENE	ENSG00000135525	I
GENE	ENSG00000187416	I
GENE	ENSG00000197705	I
GENE	ENSG00000010319	I
GENE	ENSG00000151292	I
GENE	ENSG00000139445	PI
GENE	ENSG00000024526	I
GENE	ENSG00000110435	I
GENE	ENSG00000117407	M
GENE	ENSG00000188215	I
GENE	ENSG00000197780	I
GENE	ENSG00000165509	I
GENE	ENSG00000061676	I
GENE	ENSG00000177663	I
GENE	ENSG00000215148	I
GENE	ENSG00000147383	UL
GENE	ENSG00000047457	I
GENE	ENSG00000198001	I
GENE	ENSG00000179477	I
GENE	ENSG00000166321	I
GENE	ENSG00000123104	I
GENE	ENSG00000101400	PI
GENE	ENSG00000102119	PI
GENE	ENSG00000174529	I
GENE	ENSG00000105131	I
GENE	ENSG00000163515	I
GENE	ENSG00000157005	I
GENE	ENSG00000284733	I
GENE	ENSG00000129347	I
GENE	ENSG00000119919	M
GENE	ENSG00000178394	I
GENE	ENSG00000087903	I
GENE	ENSG00000122085	I
GENE	ENSG00000122756	I
GENE	ENSG00000204379	I
GENE	ENSG00000133103	I
GENE	ENSG00000244588	I
