GENE	ENSG00000214413	I
GENE	ENSG00000167193	I
GENE	ENSG00000166562	I
GENE	ENSG00000100124	PI
GENE	ENSG00000087087	I
GENE	ENSG00000172493	I
GENE	ENSG00000005020	I
GENE	ENSG00000151726	I
GENE	ENSG00000173389	I
GENE	ENSG00000188312	I
GENE	ENSG00000081181	I
GENE	ENSG00000172938	L
GENE	ENSG00000066777	PI
GENE	ENSG00000174177	PI
GENE	ENSG00000197362	I
GENE	ENSG00000175354	I
GENE	ENSG00000180432	I
GENE	ENSG00000155229	I
GENE	ENSG00000254093	PI
GENE	ENSG00000233412	I
GENE	ENSG00000155545	I
GENE	ENSG00000171163	I
GENE	ENSG00000100380	I
GENE	ENSG00000196497	I
GENE	ENSG00000165775	I
GENE	ENSG00000122584	I
GENE	ENSG00000182271	I
GENE	ENSG00000138639	UL
GENE	ENSG00000156958	PI
GENE	ENSG00000138434	I
GENE	ENSG00000186094	I
GENE	ENSG00000175166	I
GENE	ENSG00000119782	I
GENE	ENSG00000112245	I
GENE	ENSG00000175206	I
GENE	ENSG00000174080	I
GENE	ENSG00000116852	PI
GENE	ENSG00000130821	I
GENE	ENSG00000155744	I
GENE	ENSG00000130956	I
GENE	ENSG00000188828	I
GENE	ENSG00000125703	I
GENE	ENSG00000170962	I
GENE	ENSG00000076043	I
GENE	ENSG00000173875	I
GENE	ENSG00000059573	I
GENE	ENSG00000147873	I
GENE	ENSG00000205678	I
GENE	ENSG00000188691	I
GENE	ENSG00000197253	I
GENE	ENSG00000168275	I
GENE	ENSG00000251493	M
GENE	ENSG00000133131	I
GENE	ENSG00000164120	I
GENE	ENSG00000179873	I
GENE	ENSG00000135547	I
GENE	ENSG00000174225	I
GENE	ENSG00000101892	I
GENE	ENSG00000177868	I
GENE	ENSG00000126460	I
GENE	ENSG00000185156	I
GENE	ENSG00000133627	PG
GENE	ENSG00000242866	PI
GENE	ENSG00000102974	I
GENE	ENSG00000105355	I
GENE	ENSG00000152034	I
GENE	ENSG00000088808	PI
GENE	ENSG00000243130	PI
GENE	ENSG00000253719	I
GENE	ENSG00000100023	PI
GENE	ENSG00000112584	I
GENE	ENSG00000138678	I
GENE	ENSG00000117298	PI
GENE	ENSG00000138162	PI
GENE	ENSG00000140945	PI
GENE	ENSG00000072501	I
GENE	ENSG00000126545	UL
GENE	ENSG00000221977	I
GENE	ENSG00000107263	PI
GENE	ENSG00000186806	PI
GENE	ENSG00000122877	I
GENE	ENSG00000211866	N
GENE	ENSG00000100307	I
GENE	ENSG00000105419	I
GENE	ENSG00000137106	I
GENE	ENSG00000156253	I
GENE	ENSG00000125459	PI
GENE	ENSG00000171763	I
GENE	ENSG00000103024	I
GENE	ENSG00000125869	I
GENE	ENSG00000203879	I
GENE	ENSG00000176410	I
GENE	ENSG00000153130	I
GENE	ENSG00000185697	I
GENE	ENSG00000089737	PI
GENE	ENSG00000153827	PI
GENE	ENSG00000183305	I
GENE	ENSG00000127249	I
GENE	ENSG00000170523	I
GENE	ENSG00000175548	I
GENE	ENSG00000092853	I
GENE	ENSG00000155366	I
GENE	ENSG00000147121	I
GENE	ENSG00000186862	I
GENE	ENSG00000131848	I
GENE	ENSG00000101199	PI
GENE	ENSG00000178567	I
GENE	ENSG00000135596	I
GENE	ENSG00000168958	I
GENE	ENSG00000108405	I
GENE	ENSG00000197674	I
GENE	ENSG00000166091	I
GENE	ENSG00000064933	I
GENE	ENSG00000135472	I
GENE	ENSG00000115652	PI
GENE	ENSG00000166965	I
GENE	ENSG00000198108	I
GENE	ENSG00000143443	I
GENE	ENSG00000116260	PI
GENE	ENSG00000172086	M
GENE	ENSG00000157335	I
GENE	ENSG00000227877	I
GENE	ENSG00000106554	I
GENE	ENSG00000271605	UL
GENE	ENSG00000146021	I
GENE	ENSG00000231192	I
